ResponseID,ResponseSet,IPAddress,StartDate,EndDate,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalDataReference,Finished,Status,rid,intro,age,gender,hukou,IMC_1_1,IMC_1_2,IMC_1_4,IMC_1_5,IMC_1_6,income,education,work,party,info,imc_2_1,imc_2_2,imc_2_3,imc_2_4,imc_2_5,imc_2_6,imc_2_7,audit,list_intro,a_1,a_2,a_3,a_4,a_control,list_intro_1,a_1_1,a_2_1,a_3_1,a_4_1,season_1,season_2,season_3,season_4,a_treatment,fmc_a,list_intro_2,b_1,b_2,b_3,b_4,zodiac_1,zodiac_2,zodiac_3,zodiac_4,zodiac_5,zodiac_6,b_treatment,intro_list,b_1_1,b_2_1,b_3_1,b_4_1,placebo_1,placebo_2,b_placebo,intro_list_1,b_1_2,b_2_2,b_3_2,b_4_2,b_control,fmc_b,intro_list_2,c_1,c_2,c_3,c_4,c_sensitive,c_treatment,list_intro_3,c_1_1,c_2_1,c_3_1,c_4_1,c_control,list_intro_4,d_1,d_2,d_3,d_4,d_sensitive,d_treatment,list_intro_5,d_1_1,d_2_1,d_3_1,d_4_1,d_control,intro_list_3,e_1,e_2,e_3,e_4,e_sensitive,e_treatment,intro_list_4,e_1_1,e_2_1,e_3_1,e_4_1,e_control,intro_list_5,e_1_2,e_2_2,e_3_2,e_4_2,placebo_3,placebo_4,e_placebo,fmc_e,placebo_1_direct,placebo_2_direct,non_sens_direct,c_direct,d_direct,e_direct,sponsor,end,RO-BR-FL_64,RO-BR-FL_71,RO-BR-FL_10,RO-BR-FL_22,RO-BR-FL_77,RO-BR-FL_74,RO-BR-FL_44,RO-BR-FL_57,RO-BL-IMC_2,RO-BL-A_control,RO-BL-A_treatment,RO-BL-FMC_A,RO-BL-B_treatment,RO-BL-B_placebo,RO-BL-B_control,RO-BL-FMC_B,RO-BL-C_treatment,RO-BL-C_control,RO-BL-D_treatment,RO-BL-D_control,RO-BL-E_treatment,RO-BL-E_control,RO-BL-E_placebo,RO-BL-FMC_E,RO-BL-Direct_questions,DO-Q-fmc_a,DO-Q-fmc_b,DO-Q-fmc_e,LocationLatitude,LocationLongitude,LocationAccuracy
R_uf77ciIlhrlZdGV,Default Response Set,167.98.154.91,2019-10-28T09:36:36Z,2019-10-28T09:37:32Z,NA,NA,NA,NA,1,0,5db70ae0-ed93-a163-1b01-5614e04c8ee8,1,24 到 30 岁,男,城市户口,特别感兴趣,NA,NA,NA,NA,"200,000 元以上",高中 (含中专),民间非营利组织,是党员,1,某种程度上同意,说不上同意或反对,说不上同意或反对,说不上同意或反对,某种程度上同意,某种程度上同意,某种程度上不同意,是，我明白,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,1,NA,NA,1 项,我非常喜欢菠萝。,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,1,1 项,NA,NA,NA,NA,NA,NA,政府就像是家长，应该告诉人民应该做什么。,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1 项,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,0 项,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,NA,0 项,我们的城市需要一个更大的体育馆。,NA,同意,不同意,不同意,不同意,不同意,独立机构或大学,1,Audit,NA,A_treatment,B_placebo,NA,NA,D_control,E_placebo,info|imc_2_1|imc_2_4|imc_2_5|imc_2_3|imc_2_2|imc_2_7|imc_2_6,NA,list_intro|a_3|a_2|season_2|a_1|a_4|a_treatment,fmc_a,NA,intro_list|b_1|placebo_2|b_3|b_2|b_4|b_placebo,NA,fmc_b,NA,list_intro|c_2|c_1|c_3|c_4|c_control,NA,list_intro|d_3|d_4|d_2|d_1|d_control,NA,NA,intro_list|e_4|e_2|e_3|e_1|placebo_3|e_placebo,fmc_e,non_sens_direct|d_direct|c_direct|placebo_2_direct|e_direct,4|2|3|1|5,3|2|1|4|5,1|4|3|2|5,51.55059814453125,-0.1873016357421875,-1
R_1loEUXHhLwdC45K,Default Response Set,123.147.246.179,2019-10-28T11:14:51Z,2019-10-28T11:19:43Z,NA,NA,NA,NA,1,0,5db721e2-f7eb-b405-ee64-5b1bc32aede9,1,31 到 40 岁,男,城市户口,特别感兴趣,NA,NA,NA,NA,"200,000 元以上",大学本科,私营企业单位,是党员,1,说不上同意或反对,强烈同意,强烈同意,强烈同意,某种程度上不同意,强烈不同意,某种程度上不同意,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,1,NA,3 项,在我们国家，空气污染是一个重要的问题。,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,NA,2 项,NA,NA,NA,NA,NA,NA,政府就像是家长，应该告诉人民应该做什么。,1,1,1,1,1,1,3 项,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,4 项,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,3 项,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,政府为所有人提供优质的公共服务。,不同意,NA,同意,同意,同意,不同意,政府机构,1,empty,NA,A_treatment,B_placebo,NA,NA,D_treatment,E_treatment,info|imc_2_6|imc_2_3|imc_2_2|imc_2_7|imc_2_5|imc_2_1|imc_2_4,NA,list_intro|a_3|a_4|season_3|a_1|a_2|a_treatment,fmc_a,NA,intro_list|b_4|b_1|b_2|placebo_1|b_3|b_placebo,NA,fmc_b,intro_list|c_1|c_4|c_sensitive|c_2|c_3|c_treatment,NA,list_intro|d_sensitive|d_2|d_4|d_3|d_1|d_treatment,NA,intro_list|e_2|e_sensitive|e_1|e_3|e_4|e_treatment,NA,NA,fmc_e,non_sens_direct|placebo_1_direct|e_direct|d_direct|c_direct,1|2|4|3|5,1|3|2|4|5,1|4|2|3|5,29.556900024414062,106.5531005859375,-1
R_ClVqx1VAgpuS7lv,Default Response Set,121.230.157.109,2019-10-28T11:29:26Z,2019-10-28T11:33:33Z,NA,NA,NA,NA,1,0,5db7254a-4060-edb7-650d-e483e41d66b2,1,18 到 23 岁,女,城市户口,NA,非常感兴趣,NA,NA,NA,"100,000 元到200,000 元",大学本科,私营企业单位,是党员,1,说不上同意或反对,说不上同意或反对,某种程度上同意,强烈同意,某种程度上同意,某种程度上不同意,强烈不同意,是，我明白,1,1,1,1,1,1 项,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,在我们国家，空气污染是一个重要的问题。,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,1,2 项,NA,NA,NA,NA,NA,NA,政府就像是家长，应该告诉人民应该做什么。,1,1,1,1,1,1,2 项,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,2 项,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,2 项,NA,NA,NA,NA,NA,NA,NA,NA,政府为所有人提供优质的公共服务。,NA,不同意,同意,同意,同意,不同意,独立机构或大学,1,Audit,NA,A_control,B_placebo,NA,NA,D_control,E_control,info|imc_2_1|imc_2_4|imc_2_2|imc_2_6|imc_2_5|imc_2_3|imc_2_7,list_intro|a_3|a_1|a_2|a_4|a_control,NA,fmc_a,NA,intro_list|placebo_2|b_1|b_3|b_2|b_4|b_placebo,NA,fmc_b,intro_list|c_4|c_1|c_sensitive|c_3|c_2|c_treatment,NA,NA,list_intro|d_4|d_3|d_1|d_2|d_control,NA,intro_list|e_2|e_4|e_1|e_3|e_control,NA,fmc_e,non_sens_direct|placebo_2_direct|c_direct|e_direct|d_direct,2|4|1|3|5,4|2|3|1|5,4|1|2|3|5,32.49070739746094,119.90811157226562,-1
R_ptKgdQ0vdXpCtOh,Default Response Set,1.180.18.1,2019-10-28T11:33:16Z,2019-10-28T11:37:17Z,NA,NA,NA,NA,1,0,5db72627-5749-b654-067b-03dbb257f926,1,31 到 40 岁,男,城市户口,特别感兴趣,NA,NA,NA,NA,"200,000 元以上",大学本科,私营企业单位,不是党员,1,说不上同意或反对,强烈同意,某种程度上同意,某种程度上不同意,某种程度上不同意,强烈不同意,强烈不同意,是，我明白,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,1,1 项,在我们国家，空气污染是一个重要的问题。,1,1,1,1,1,NA,NA,1,NA,NA,NA,2  项,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,政府就像是家长，应该告诉人民应该做什么。,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,2 项,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,2 项,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,3 项,NA,NA,NA,NA,NA,NA,NA,NA,政府为所有人提供优质的公共服务。,不同意,NA,同意,不同意,不同意,不同意,独立机构或大学,1,Audit,NA,A_treatment,B_treatment,NA,NA,D_control,E_control,info|imc_2_3|imc_2_6|imc_2_7|imc_2_2|imc_2_4|imc_2_5|imc_2_1,NA,list_intro|a_4|a_1|season_4|a_3|a_2|a_treatment,fmc_a,list_intro|b_3|b_4|zodiac_3|b_1|b_2|b_treatment,NA,NA,fmc_b,NA,list_intro|c_1|c_2|c_4|c_3|c_control,NA,list_intro|d_4|d_2|d_1|d_3|d_control,NA,intro_list|e_2|e_4|e_1|e_3|e_control,NA,fmc_e,non_sens_direct|e_direct|d_direct|c_direct|placebo_1_direct,1|4|2|3|5,1|4|3|2|5,1|3|2|4|5,38.912200927734375,121.60220336914062,-1
R_3Ux8QONyuf3xs8V,Default Response Set,58.222.50.139,2019-10-28T11:32:36Z,2019-10-28T11:37:49Z,NA,NA,NA,NA,1,0,5db72604-6a58-8ba2-4659-b5be4d163973,1,24 到 30 岁,女,城市户口,NA,非常感兴趣,NA,NA,NA,"100,000 元到200,000 元",硕士及以上,私营企业单位,是党员,1,说不上同意或反对,强烈同意,说不上同意或反对,强烈同意,说不上同意或反对,强烈不同意,强烈不同意,是，我明白,1,1,1,1,1,1 项,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,在我们国家，空气污染是一个重要的问题。,1,1,1,1,1,1,NA,NA,NA,NA,NA,0  项,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,政府就像是家长，应该告诉人民应该做什么。,1,1,1,1,1,1,1  项,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1  项,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,3 项,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,政府为所有人提供优质的公共服务。,NA,不想回答,不想回答,不想回答,不想回答,不想回答,NA,1,Audit,NA,A_control,B_treatment,NA,NA,D_treatment,E_treatment,info|imc_2_5|imc_2_4|imc_2_1|imc_2_6|imc_2_2|imc_2_3|imc_2_7,list_intro|a_1|a_2|a_3|a_4|a_control,NA,fmc_a,list_intro|b_2|b_3|zodiac_1|b_4|b_1|b_treatment,NA,NA,fmc_b,intro_list|c_4|c_2|c_3|c_sensitive|c_1|c_treatment,NA,list_intro|d_sensitive|d_3|d_1|d_4|d_2|d_treatment,NA,intro_list|e_1|e_sensitive|e_3|e_4|e_2|e_treatment,NA,NA,fmc_e,non_sens_direct|d_direct|e_direct|c_direct|placebo_2_direct,2|3|1|4|5,1|3|4|2|5,3|2|1|4|5,36.66209411621094,117.01040649414062,-1
R_3MrHSPfqoi8OEMh,Default Response Set,112.234.191.182,2019-10-28T11:37:16Z,2019-10-28T11:42:46Z,NA,NA,NA,NA,1,0,5db72707-4972-6edc-839f-93ce254b1415,1,24 到 30 岁,女,城市户口,特别感兴趣,NA,NA,NA,NA,"100,000 元到200,000 元",高中 (含中专),都不是,不想回答,1,说不上同意或反对,说不上同意或反对,说不上同意或反对,说不上同意或反对,说不上同意或反对,说不上同意或反对,说不上同意或反对,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,1,NA,NA,1 项,在我们国家，空气污染是一个重要的问题。,1,1,1,1,1,1,NA,NA,NA,NA,NA,1  项,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,我不记得,1,1,1,1,1,1,1  项,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1  项,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,NA,1 项,我会游泳。,NA,不想回答,不想回答,不想回答,不想回答,不想回答,NA,1,empty,NA,A_treatment,B_treatment,NA,NA,D_treatment,E_placebo,info|imc_2_1|imc_2_6|imc_2_7|imc_2_5|imc_2_2|imc_2_4|imc_2_3,NA,list_intro|a_4|a_2|season_2|a_1|a_3|a_treatment,fmc_a,list_intro|b_3|b_1|zodiac_1|b_4|b_2|b_treatment,NA,NA,fmc_b,intro_list|c_1|c_4|c_2|c_sensitive|c_3|c_treatment,NA,list_intro|d_sensitive|d_3|d_4|d_1|d_2|d_treatment,NA,NA,NA,intro_list|placebo_3|e_4|e_3|e_2|e_1|e_placebo,fmc_e,non_sens_direct|c_direct|e_direct|d_direct|placebo_2_direct,4|1|2|3|5,3|1|2|4|5,3|4|1|2|5,35.06309509277344,118.34280395507812,-1
R_1laDJQlBK4wliFZ,Default Response Set,123.145.99.50,2019-10-28T11:37:54Z,2019-10-28T11:47:09Z,NA,NA,NA,NA,1,0,5db7273b-418a-e82b-1d07-62965583e4cd,1,55岁以上,男,城市户口,NA,非常感兴趣,NA,NA,NA,"50,000 到100,000 元",大学本科,不想回答,不想回答,1,说不上同意或反对,说不上同意或反对,强烈同意,某种程度上不同意,某种程度上同意,某种程度上同意,某种程度上不同意,是，我明白,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,NA,NA,NA,1 项,在我们国家，空气污染是一个重要的问题。,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,3 项,政府就像是家长，应该告诉人民应该做什么。,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,2 项,1,1,1,1,1,1,3 项,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,1,2 项,政府为所有人提供优质的公共服务。,不同意,NA,同意,同意,同意,不同意,NA,1,Audit,NA,A_treatment,B_control,NA,NA,D_treatment,E_placebo,info|imc_2_2|imc_2_6|imc_2_1|imc_2_3|imc_2_4|imc_2_7|imc_2_5,NA,list_intro|a_1|a_3|season_1|a_4|a_2|a_treatment,fmc_a,NA,NA,intro_list|b_1|b_2|b_3|b_4|b_control,fmc_b,NA,list_intro|c_1|c_4|c_2|c_3|c_control,list_intro|d_1|d_4|d_2|d_3|d_sensitive|d_treatment,NA,NA,NA,intro_list|e_2|e_4|e_1|placebo_4|e_3|e_placebo,fmc_e,non_sens_direct|c_direct|e_direct|d_direct|placebo_1_direct,3|1|4|2|5,3|2|1|4|5,1|4|3|2|5,29.556900024414062,106.5531005859375,-1
R_1eKPY0f87NxkOSK,Default Response Set,117.147.21.143,2019-10-28T11:44:45Z,2019-10-28T11:50:38Z,NA,NA,NA,NA,1,0,5db728cb-dfa9-3207-363b-92d0f2c40133,1,24 到 30 岁,男,农村户口,NA,NA,NA,有点感兴趣,NA,"50,000 到100,000 元",高中 (含中专),政府和国有企事业单位,不是党员,1,说不上同意或反对,某种程度上同意,某种程度上同意,说不上同意或反对,某种程度上同意,某种程度上不同意,说不上同意或反对,是，我明白,1,1,1,1,1,3 项,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,在我们国家，空气污染是一个重要的问题。,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,1,3 项,NA,NA,NA,NA,NA,NA,政府就像是家长，应该告诉人民应该做什么。,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,3 项,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,2 项,1,1,1,1,1,1,2 项,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,政府为所有人提供优质的公共服务。,NA,不同意,同意,同意,同意,不同意,政府机构,1,Audit,NA,A_control,B_placebo,NA,NA,D_control,E_treatment,info|imc_2_5|imc_2_2|imc_2_4|imc_2_3|imc_2_7|imc_2_1|imc_2_6,list_intro|a_4|a_1|a_3|a_2|a_control,NA,fmc_a,NA,intro_list|b_1|placebo_2|b_4|b_3|b_2|b_placebo,NA,fmc_b,NA,list_intro|c_1|c_2|c_4|c_3|c_control,NA,list_intro|d_4|d_3|d_2|d_1|d_control,intro_list|e_1|e_3|e_sensitive|e_4|e_2|e_treatment,NA,NA,fmc_e,non_sens_direct|e_direct|c_direct|placebo_2_direct|d_direct,3|4|2|1|5,1|4|3|2|5,3|1|4|2|5,30.29400634765625,120.16189575195312,-1
R_dgarvFWNURKKHXr,Default Response Set,218.107.28.186,2019-10-28T11:50:10Z,2019-10-28T11:55:03Z,NA,NA,NA,NA,1,0,5db72a10-f463-2c2a-5a5d-f0eb87dff2ea,1,18 到 23 岁,女,城市户口,NA,NA,NA,有点感兴趣,NA,"100,000 元到200,000 元",大学本科,都不是,不是党员,1,说不上同意或反对,强烈同意,某种程度上同意,某种程度上同意,强烈不同意,说不上同意或反对,强烈不同意,NA,1,1,1,1,1,2 项,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,在我们国家，空气污染是一个重要的问题。,1,1,1,1,1,NA,NA,1,NA,NA,NA,2  项,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,政府就像是家长，应该告诉人民应该做什么。,1,1,1,1,1,1,2 项,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,3 项,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,0 项,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,政府为所有人提供优质的公共服务。,NA,不同意,同意,同意,同意,不同意,私人企业,1,empty,NA,A_control,B_treatment,NA,NA,D_treatment,E_treatment,info|imc_2_1|imc_2_2|imc_2_4|imc_2_3|imc_2_7|imc_2_6|imc_2_5,list_intro|a_1|a_2|a_4|a_3|a_control,NA,fmc_a,list_intro|b_1|b_2|zodiac_3|b_3|b_4|b_treatment,NA,NA,fmc_b,intro_list|c_4|c_3|c_1|c_2|c_sensitive|c_treatment,NA,list_intro|d_sensitive|d_4|d_2|d_3|d_1|d_treatment,NA,intro_list|e_3|e_sensitive|e_2|e_1|e_4|e_treatment,NA,NA,fmc_e,non_sens_direct|placebo_2_direct|c_direct|e_direct|d_direct,4|1|3|2|5,2|4|1|3|5,2|4|1|3|5,23.11669921875,113.25,-1
R_8J2LmDXIM0Qi0b7,Default Response Set,58.241.135.167,2019-10-28T11:58:21Z,2019-10-28T12:04:07Z,NA,NA,NA,NA,1,0,5db72c2d-c276-841f-8ad6-5883183b4f6d,1,24 到 30 岁,女,城市户口,特别感兴趣,NA,NA,NA,NA,"100,000 元到200,000 元",大学本科,私营企业单位,NA,1,说不上同意或反对,强烈同意,说不上同意或反对,强烈同意,某种程度上同意,强烈不同意,说不上同意或反对,是，我明白,1,1,1,1,1,2 项,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,在我们国家，空气污染是一个重要的问题。,1,1,1,1,1,NA,NA,NA,NA,NA,1,2  项,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,政府就像是家长，应该告诉人民应该做什么。,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,3 项,1,1,1,1,1,1,3 项,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,3 项,NA,NA,NA,NA,NA,NA,NA,NA,政府为所有人提供优质的公共服务。,NA,不同意,同意,不同意,不同意,不同意,独立机构或大学,1,Audit,NA,A_control,B_treatment,NA,NA,D_treatment,E_control,info|imc_2_5|imc_2_2|imc_2_7|imc_2_1|imc_2_4|imc_2_6|imc_2_3,list_intro|a_1|a_2|a_3|a_4|a_control,NA,fmc_a,list_intro|b_3|b_1|zodiac_6|b_2|b_4|b_treatment,NA,NA,fmc_b,NA,list_intro|c_1|c_4|c_2|c_3|c_control,list_intro|d_sensitive|d_1|d_3|d_4|d_2|d_treatment,NA,NA,intro_list|e_4|e_2|e_1|e_3|e_control,NA,fmc_e,non_sens_direct|placebo_2_direct|e_direct|d_direct|c_direct,2|1|3|4|5,2|4|3|1|5,2|1|3|4|5,32.39720153808594,119.435791015625,-1
