Tag,Wording
intro,"感谢您的参与！ 
此项社会科学调查在哥德堡大学研究员的监督下开展。您的参与将为学术研究做出非常有价值的贡献。  您的参与将对学术研究提供很有价值的贡献。所以您仔细阅读所有问题并且诚实回答这些问题是非常重要的。如果您不想回应一个问题，那么请选择“不想回答”。完成这份问卷会占用您大约 10 分钟的时间。参与这个调查是完全自愿的，而且未经授权的人员无法获得您的回答。如果任何时候您希望放弃这次调查则您可以转换到其它网页或者关闭浏览器窗口。 如果您希望参与那么请点击下面的“下一页”。如果您不希望参与那么您可以转换到其它网页或者关闭浏览器窗口。"
age,您多大年纪?
gender,性别:
hukou,您现在的户口类型是什么？
IMC_1,我们想要了解一下您的喜好。现代决策论认为人们的种种决定不是凭空做出的。为了显示您已经仔细阅读了这部分题目，请忽略您的个人喜好，选择下面的红色和绿色。您不用思考下面的题目，请直接选择这两个颜色。您最喜欢的颜色是什么？
income,年薪收入(人民币)?
education,您的最高学历是什么？
work,您是在政府或国有企事业单位工作，还是在私营企业单位工作?
party,政治面貌?
info,"您将在下看到一系列表述。请说明您是否赞同或反对各项表述。
"
imc_2_1,请点击“说不上同意或反对”选项
imc_2_2,中国国旗的主要颜色是绿色
imc_2_3,杀人犯应被判死刑
imc_2_4,同性恋应该享受合法婚姻的权力
imc_2_5,为了家庭，个人应该把他或她自身的利益放在第二位
imc_2_6,作为一名学生，一个人不应该质疑老师的权威
imc_2_7,即使父母的要求不合理，子女也应该去做他们要求的事情
audit,为了确保受访者已阅读说明、并认真地回答问题，接下来会有一些非常简单的问题，以便测试您是否已经阅读了说明。为了数据的准确性，我们只会接受明确表明了自己已经阅读并理解本次调查的受访者。如果您答错了，我们可能无法使用您的数据。您明白了吗？
list_intro,"现在，我们想了解在下列表述中，您赞同或者认可其中的多少项？您无需指出具体哪一项，只需要告诉我们您总共赞同多少项。 
"
a_1,在我们国家，空气污染是一个重要的问题。
a_2,我小时候经常和祖父母/外祖父母在一起。
a_3,"总体而言, 我国的生活质量比30年前低。"
a_4,经济发展比保护环境更重要。
a_control,"
请指出您赞同以上多少项表述:"
list_intro,"现在，我们想了解在下列表述中，您赞同或者认可其中的多少项？您无需指出具体哪一项，只需要告诉我们您总共赞同多少项。  
"
a_1,在我们国家，空气污染是一个重要的问题。
a_2,我小时候经常和祖父母/外祖父母在一起。
a_3,"总体而言, 我国的生活质量比30年前低。"
a_4,经济发展比保护环境更重要。
season_1,我出生在冬季（12月/1月/2月）
season_2,我出生在春季（3月/4月/5月）
season_3,我出生在夏季（6月/7月/8月）
season_4,我出生在秋季（9月/10月/11月）
a_treatment,"
请指出您赞同以上多少项表述:"
fmc_a,您刚刚回答了一个问题，从一系列表述中选择了自己赞同的项目。以下有四项表述。其中只有一项出现在了之前的列表中。是哪一项？请选择该项，无论它是否属于您赞同的其中一项。
list_intro,"现在，我们想了解在下列表述中，您赞同或者认可其中的多少项？您无需指出具体哪一项，只需要告诉我们您总共赞同多少项。 
"
b_1,政府是人民的公仆，应该按人民的意愿做事。
b_2,政府就像是家长，应该告诉人民应该做什么。
b_3,我现在生活的城市就是我的出生地。
b_4,通常来说，大部分人都不能被信任。
zodiac_1,我出生在鼠年或牛年。
zodiac_2,我出生在虎年或兔年。
zodiac_3,我出生在龙年或蛇年。
zodiac_4,我出生在马年或羊年。
zodiac_5,我出生在猴年或鸡年。
zodiac_6,我出生在狗年或猪年。
b_treatment,"
请指出您赞同以上多少项表述:"
intro_list,"现在，我们想了解在下列表述中，您赞同或者认可其中的多少项？您无需指出具体哪一项，只需要告诉我们您总共赞同多少项。  
"
b_1,政府是人民的公仆，应该按人民的意愿做事。
b_2,政府就像是家长，应该告诉人民应该做什么。
b_3,我现在生活的城市就是我的出生地。
b_4,通常来说，大部分人都不能被信任。
placebo_1,我出生于21世纪00年代。
placebo_2,我出生于20世纪70年代。
b_placebo,"
请指出您赞同以上多少项表述:"
intro_list,"现在，我们想了解在下列表述中，您赞同或者认可其中的多少项？您无需指出具体哪一项，只需要告诉我们您总共赞同多少项。  
"
b_1,政府是人民的公仆，应该按人民的意愿做事。
b_2,政府就像是家长，应该告诉人民应该做什么。
b_3,我现在生活的城市就是我的出生地。
b_4,通常来说，大部分人都不能被信任。
b_control,"
请指出您赞同以上多少项表述:"
fmc_b,您刚刚回答了一个问题，从一系列表述中选择了自己赞同的项目。以下有四项表述。其中只有一项出现在了之前的列表中。是哪一项？请选择该项，无论它是否属于您赞同的其中一项。
intro_list,现在，我们想了解在下列表述中，您赞同或者认可其中的多少项？您无需指出具体哪一项，只需要告诉我们您总共赞同多少项。 
c_1,女性像男性一样能成为好的政治领导
c_2,遵循宗教标准和仪式很重要。
c_3,当工作稀缺的时候，男性应该比女性更有权利获得一份工作。
c_4,我国应该增加商业的私有制。
c_sensitive,我信任常驻北京的国家政府。
c_treatment,"
请指出您赞同以上多少项表述:"
list_intro,"现在，我们想了解在下列表述中，您赞同或者认可其中的多少项？您无需指出具体哪一项，只需要告诉我们您总共赞同多少项。 
"
c_1,女性像男性一样能成为好的政治领导。
c_2,遵循宗教标准和仪式很重要。
c_3,当工作稀缺的时候，男性应该比女性更有权利获得一份工作。
c_4,我国应该增加商业的私有制。
c_control,"
请指出您赞同以上多少项表述:"
list_intro,现在，我们想了解在下列表述中，您赞同或者认可其中的多少项？您无需指出具体哪一项，只需要告诉我们您总共赞同多少项。 
d_1,媒体发布新闻和观点时，应有权不受政府控制。
d_2,我家之前几年的经济状况比现在要好。
d_3,总体来说，我们国家正在走向正确的发展方向。
d_4,如果人们有太多各种各样的想法，社会会变得混乱。
d_sensitive,我信任我的本地政府。
d_treatment,"
请指出您赞同以上多少项表述:"
list_intro,"现在，我们想了解在下列表述中，您赞同或者认可其中的多少项？您无需指出具体哪一项，只需要告诉我们您总共赞同多少项。 
"
